Index,PG,MV CAViaR,MV CAViaR + AR(1),MV CAViaR + SAV,MV CAViaR + AS,SAV,Abs. Slope,Ind. GARCH,Adaptive
2014-05-01,0.000105989228846859,-0.0166375328204852,-0.0165667965607833,-0.0148810905405136,-0.0139434598819234,-0.0132972311403797,-0.0135691455440817,-0.0127425816248962,-0.0128818776594403
2014-05-02,-0.00143490379639744,-0.01703730911284,-0.0169384764953035,-0.0142324777231608,-0.0135784937688751,-0.012683190608362,-0.0131559145207649,-0.0123465215248523,-0.0130498460184471
2014-05-05,0.0019125983859416,-0.0176200764187775,-0.0182415024787793,-0.01434250685802,-0.0228234648024443,-0.012067239790103,-0.0127658354405192,-0.0120039611291019,-0.0130060971827976
2014-05-06,-0.00874198317868924,-0.0166320701388584,-0.0162438072316047,-0.0144491252035953,-0.0127853640164417,-0.0115054874253065,-0.0120366723118942,-0.0116911827667794,-0.0130953454395726
2014-05-07,0.00587185301649917,-0.0182904410176265,-0.0181486766777271,-0.0122619382591445,-0.0195916878165011,-0.0121876280038712,-0.0138515576354242,-0.0121419423838826,-0.0130901350620346
2014-05-08,-0.00106480052681857,-0.0160095069471523,-0.0155170465116796,-0.015254040622957,-0.01281243457861,-0.0124627693742864,-0.0134032141739207,-0.0121318082340372,-0.0130637470416495
2014-05-09,0.00149040347619156,-0.0174909803883331,-0.0179611244768444,-0.0143296025223792,-0.0223546580548598,-0.01174845221577,-0.013084346443974,-0.0117982166786749,-0.0130914164541637
2014-05-12,0.0096891893575668,-0.0170403983037702,-0.017345882981279,-0.0147884101744994,-0.0150556716971107,-0.0107199256917373,-0.0126110290129115,-0.0115054215066817,-0.013080658519606
2014-05-13,0.000895586631028067,-0.0160008508222608,-0.0165889552882671,-0.0167655979853422,-0.0167713820696691,-0.0123426883811776,-0.0117569627842048,-0.0121521303527886,-0.0130412620963221
2014-05-14,-0.00474940304137839,-0.0169361549159544,-0.0168624664681399,-0.0144216024172506,-0.0137368216187545,-0.011567123379375,-0.0111242303013868,-0.011813419736798,-0.0130951625037911
2014-05-15,-0.00881895164589874,-0.0175782606182896,-0.0171629750919395,-0.0129687273292351,-0.0190580553412992,-0.0116787342205684,-0.0120518507167117,-0.0117214322764466,-0.0130480420030983
2014-05-16,0.00346257902149372,-0.0184205547387436,-0.0185164080526104,-0.0123930073313526,-0.0203756881755501,-0.0126691392151387,-0.0140258955778254,-0.0120752033884403,-0.0130837597806752
2014-05-19,0.00366252428916347,-0.0165425590932898,-0.0164213664073417,-0.0149559591284539,-0.0138211480891596,-0.0123790541354728,-0.0133086560949056,-0.011840927317134,-0.012479155676721
2014-05-20,-0.00632497532971676,-0.0169098580717582,-0.0175794282902903,-0.0154923385679934,-0.016473295590419,-0.0121261363264164,-0.012589557266763,-0.0117309411948435,-0.0126200037963443
2014-05-21,0.00838913858025592,-0.0179474018668367,-0.0178159276744377,-0.0127993368910807,-0.0198543010579415,-0.0125405310255717,-0.0138158528079528,-0.0118291953766557,-0.0125667807093306
2014-05-22,0.00242914919255366,-0.0160329781392613,-0.0163113325003084,-0.0162870917114646,-0.0156170851804654,-0.0133823084845292,-0.0130539188138507,-0.0122202325543909,-0.0125761647132817
2014-05-23,0.00400040874176888,-0.0166355950017366,-0.016402926239958,-0.0146595032456929,-0.0133522970446721,-0.0125473090194672,-0.0124740194864198,-0.0118879808319337,-0.0124307894908982
2014-05-27,0.00612783251519744,-0.016597106658161,-0.01673948732369,-0.0152382567917004,-0.0147496645474167,-0.012339027501225,-0.0118935683161387,-0.0116904363731369,-0.0124036513209687
2014-05-28,-0.000730983943561192,-0.0163184830041679,-0.0165164672753628,-0.0157402562505866,-0.0151358141334056,-0.0128346053507472,-0.0114707519699002,-0.0117600410138165,-0.0122286451732885
2014-05-29,0.00515940091922218,-0.0171198820043739,-0.0169451852877152,-0.0140013588637784,-0.0202388614712143,-0.0118606031879722,-0.0111926287748234,-0.0114110876728081,-0.0122214884082416
2014-05-30,0.00161007454925688,-0.0161970325511371,-0.0158740426465466,-0.0152030617049578,-0.0133094662176747,-0.0120818425205839,-0.0108137325965979,-0.011374985855648,-0.0119546965761816
2014-06-02,0.0011412871398564,-0.0166957798307522,-0.0163476999370172,-0.0144076882820341,-0.0128905933847404,-0.0115462314072987,-0.0104749424874784,-0.0111108496026827,-0.0119221787742094
2014-06-03,-0.000518403532317357,-0.0169665134838672,-0.0170240937195139,-0.0145573287244656,-0.0141971617463979,-0.0109127894800094,-0.0100738962992091,-0.0108578561466544,-0.0119038394070373
2014-06-04,0.00202073989495943,-0.0171149227737879,-0.0169914626595778,-0.0140799684558661,-0.0204295640070059,-0.0104206715781719,-0.00992410010665662,-0.0106169637905706,-0.0119133855395394
2014-06-05,0.00650071772668781,-0.0168064953907018,-0.0167975483942698,-0.014709104597903,-0.0140587109192336,-0.0101279793886043,-0.00955944793326555,-0.010441641248064,-0.011914128096047
2014-06-06,0.00477144363372783,-0.016191025658172,-0.0162417994279422,-0.0157304986164295,-0.0146808282936697,-0.0107724730673736,-0.00935472497295522,-0.0107069702762373,-0.0118714922979603
2014-06-09,0.00102312303321206,-0.0165392299795092,-0.0167878136912385,-0.0154737835382219,-0.0151761665257969,-0.0110094390193812,-0.00911345537768439,-0.0107273330269392,-0.0116655492356194
2014-06-10,0.000102401066609303,-0.0171869676059327,-0.0176506694970024,-0.0147842847159119,-0.0155383921377778,-0.0104697579547367,-0.00892156378786791,-0.0105073915034426,-0.0117099360649513
2014-06-11,-0.00348251495512297,-0.017141538750232,-0.0172497537123237,-0.0143606299040197,-0.0142676277207487,-0.00982059834295914,-0.00873538889304584,-0.0102966010953573,-0.0116132016508647
2014-06-12,-0.00710501340036807,-0.0177358923317305,-0.0179996461742039,-0.0136699258289613,-0.0214389604659616,-0.00992203874217821,-0.00955607239802226,-0.0102446436032541,-0.0116111714648774
2014-06-13,0.00304370294366052,-0.0180236983572893,-0.0178202043637712,-0.0125831201208977,-0.0195407794538343,-0.0107255016300765,-0.0110059043331951,-0.0106275824748047,-0.0116141417594695
2014-06-16,0.000823985325903998,-0.0166576269215508,-0.0166456841141801,-0.014931972801234,-0.0141453792418717,-0.0106119935772635,-0.0105821871246272,-0.0105084704693065,-0.0116350634777575
2014-06-17,0.002775569752135,-0.0168300613896448,-0.0165239802848166,-0.0142611480868707,-0.0129561844826855,-0.00989511659794525,-0.0101981243179333,-0.0101660076852716,-0.0116204994655965
2014-06-18,0.00731282539572842,-0.0168392199280407,-0.0171126878241538,-0.0150508085471182,-0.015070471207881,-0.00967700456894706,-0.00984432101206398,-0.0100463367518674,-0.011573004687002
