"","PG","MV CAViaR","MV CAViaR + AR(1)","MV CAViaR + SAV","MV CAViaR + AS","SAV","Abs. Slope","Ind. GARCH","Adaptive"
"154",-0.00295024008795863,-0.0513595556441312,-0.0456452678393639,-0.0281727978545421,-0.0456539231743843,-0.0319773245877037,-0.0340122369951249,-0.0326907829793477,-0.0749188301488564
"155",-0.000461249775983497,-0.0513318292114292,-0.0579472884304674,-0.0315983753198317,-0.0407207167275218,-0.0304256791664935,-0.0331357835620845,-0.0317813721657187,-0.0750393510802138
"156",0.0122101989346985,-0.0508643848996169,-0.0488776918991378,-0.0312374418233059,-0.0392529690236491,-0.028417678343239,-0.0316345756371735,-0.0308745110448645,-0.0751487895768024
"157",0.00182363163553223,-0.0476330294725473,-0.0515912632765828,-0.0439111067709609,-0.0588463157411544,-0.0296240017004183,-0.0306222915029441,-0.0310181033448592,-0.0752039472807675
"158",-0.0175500848761123,-0.0504138567195789,-0.0492632246608334,-0.0279384033218806,-0.0554166455958156,-0.0280533716851153,-0.0292837989665378,-0.030195624573086,-0.0753322019152257
"159",-0.00324973307797904,-0.0545556821946652,-0.0494093531264638,-0.0160958751225775,-0.0442773995579277,-0.0306583300726033,-0.0330634657414867,-0.0314193188671968,-0.0754281724822327
"160",-0.0038201887775271,-0.0512327381097877,-0.0437918188240641,-0.0260337478941684,-0.0389380046104108,-0.0293326625158012,-0.0323896468470666,-0.030616197993391,-0.0755086656906234
"161",-0.0149542688641082,-0.0513435208826421,-0.0561196417406704,-0.0349363419649172,-0.0419953333827513,-0.0283025452974376,-0.0319477170392542,-0.0299006748351748,-0.0755805028811687
"162",0.00387745083684354,-0.0538252529100083,-0.0505152344347132,-0.0165474221370218,-0.0423283502031108,-0.030219413999113,-0.0347700334927099,-0.0306219325408257,-0.0740192168325129
"163",-0.00672457036551855,-0.0498911665131064,-0.0435094103673196,-0.0359328156895166,-0.0569592292615146,-0.0291032006381052,-0.0332055829134233,-0.0299089376593123,-0.0741633424685378
"164",0.0153713786141294,-0.0520655917371869,-0.0564162457305994,-0.0242315918238735,-0.0428185091243363,-0.0288373428080121,-0.0335102511093778,-0.0294548458722607,-0.0742070150434737
"165",-0.0146112427858487,-0.0470796640397704,-0.0466245539946993,-0.0491492235567463,-0.0587867366105957,-0.030799474749988,-0.0324947830517561,-0.0303126432773065,-0.0739420601936714
"166",0,-0.0538649749673549,-0.0591874949560727,-0.0188500677151276,-0.0442444764121117,-0.0323454729690889,-0.0352262492702215,-0.030919919241579,-0.0740199937133586
"167",0.02947293786168,-0.0506718521084801,-0.0377124751696474,-0.0316148871300702,-0.0586423298330336,-0.0300021581989347,-0.0334099015994375,-0.0300852193008249,-0.0740774051962514
"168",0.00926929948705624,-0.0444916563567312,-0.0507442722719756,-0.0602814040722792,-0.0489182009062776,-0.0354161769090291,-0.0329792408562944,-0.0346804061009792,-0.0741704902195016
"169",0.0128883770869317,-0.048764340345376,-0.0487982892805958,-0.0373679521175218,-0.0545400892714307,-0.035079904509614,-0.0317203824617699,-0.0340790465891018,-0.0742650575732433
"170",-0.0113364893278511,-0.0481830396519166,-0.0364700833463675,-0.0443742349144601,-0.052884092115939,-0.0357017323569482,-0.030703713337301,-0.0339975495802612,-0.0743635897854028
"171",0.00699851390382111,-0.0527777502198402,-0.0520293656301011,-0.0213064391445532,-0.0451109664198825,-0.0358584480469845,-0.0326060247261989,-0.0337039934713319,-0.0744473103850486
"172",0.00460830148886693,-0.0494542887960183,-0.0337732822109094,-0.0392558480670016,-0.0556941229433622,-0.034894810181262,-0.0312979252909543,-0.0329638847736319,-0.0745316528309877
"173",0.0050359597438181,-0.0497695027247603,-0.0521037753487943,-0.041237119252031,-0.0572281366306032,-0.0334332463760633,-0.0299751837800846,-0.0321119753292427,-0.0746429545497754
"174",0.011061491765906,-0.0495282764247828,-0.0389582407211725,-0.0385397229198606,-0.0591784632723504,-0.0322462248233032,-0.0287809839937385,-0.0313505678752063,-0.0747142776269175
